Parameters:
    I1 = 16807
    M = 2147483647
    K(0) = 1073741823
Tabulated Random Numbers
n   Kn          Rn
0   1073741823  0.5
1   1073733420  0.499996
2   932504199   0.434231
3   262416787   0.122197
4   1655011818  0.770675
5   1575429182  0.733616
6   1912378011  0.89052
7   2096969875  0.976478
8   1418558208  0.660568
9   344352862   0.160352
10  70122969    0.0326536
11  1735701427  0.808249
12  516022741   0.240292
13  1255241401  0.584517
14  2110362126  0.982714
15  1016337830  0.473269
16  504980572   0.23515
17  353100660   0.164425
18  1065475959  0.496151
19  1735794227  0.808292
20  2075712341  0.966579
21  625469672   0.291257
22  336325239   0.156614
23  441332969   0.205512
24  74693245    0.0347818
25  1238918867  0.576917
26  507956357   0.236536
27  974995274   0.454018
28  1445343508  0.673041
29  1700807739  0.792
30  320844156   0.149405
31  96292275    0.0448396
32  1329079734  0.618901
33  1865676891  0.868774
34  1022777190  0.476268
35  1357121742  0.631959
36  721303007   0.335883
37  394451334   0.183681
38  261552249   0.121795
39  9623534     0.00448131
40  681462413   0.317331
41  808485840   0.376481
42  1092478311  0.508725
43  297791127   0.13867
44  1338573979  0.623322
45  374179081   0.174241
46  995695951   0.463657
47  1469271033  0.684183
48  123794778   0.0576464
49  1854663550  0.863645
